2021-03-25,Python,1.0
2021-03-25,SQL,0.6962962962962963
2021-03-25,Data Mining,0.4222222222222222
2021-03-25,Математическая статистика,0.24444444444444444
2021-03-25,C++,0.14814814814814814
2021-03-25,Английский язык,0.13703703703703704
2021-03-25,MS SQL,0.13333333333333333
2021-03-25,Git,0.12962962962962962
2021-03-25,Анализ данных,0.12222222222222222
2021-03-25,Английский — B1 — Средний,0.11481481481481481
2021-03-25,Data Analysis,0.11481481481481481
2021-03-25,Linux,0.1111111111111111
2021-03-25,Machine Learning,0.1
2021-03-25,Big Data,0.0962962962962963
2021-03-25,Математическое моделирование,0.09259259259259259
2021-03-25,Статистический анализ,0.07777777777777778
2021-03-25,Математический анализ,0.07777777777777778
2021-03-25,NLP,0.07407407407407407
2021-03-25,Аналитические исследования,0.07037037037037037
2021-03-25,pandas,0.06666666666666667
2021-03-25,Работа с базами данных,0.06666666666666667
2021-03-25,Hadoop,0.06666666666666667
2021-03-25,MATLAB,0.06666666666666667
2021-03-25,Базы данных,0.06296296296296296
2021-03-25,Spark,0.06296296296296296
2021-03-25,Pandas,0.06296296296296296
2021-03-25,Data Science,0.05925925925925926
2021-03-25,ML,0.05925925925925926
2021-03-25,MS PowerPoint,0.05925925925925926
2021-03-25,Прогнозирование,0.05925925925925926
2021-03-25,Английский — B2 — Средне-продвинутый,0.05185185185185185
2021-03-25,data science,0.05185185185185185
2021-03-25,tensorflow,0.04814814814814815
2021-03-25,numpy,0.04814814814814815
2021-03-25,TensorFlow,0.044444444444444446
2021-03-25,MS Excel,0.044444444444444446
2021-03-25,Английский — C1 — Продвинутый,0.044444444444444446
2021-03-25,PyTorch,0.044444444444444446
2021-03-25,Sas,0.044444444444444446
